,claim_text,premise_texts,year,quarter,label
385,"claim: So, yes, I do think that price is a factor.",premises: ['And so what we have done in January and in some locations and some products is essentially absorbed part or all of the foreign currency move as compared to last year and therefore get close or perhaps right on the local price from a year ago.'],2019,Q1,1
613,claim: We did perform about where I thought we would.,"premises: ['At least I thought it would be similar to the previous quarter, and it was.']",2017,Q2,2
1937,claim: you're going to see that show up in a variety of different line items that we don't have it specifically broken out.,"premises: [""We're making substantial product and engineering investments."", ""So as part of the overall hiring on R&D head count, there's going be a pretty significant allocation of that to some of the product-related security initiatives that we're doing."", ""So that's going to show up in R&D."", ""You're going to have some of the ads work that we're doing, the ads quality work showing up in the sales and marketing line, so you're going to see some there."", ""And then you're going to also just have overall impact on G&A as well for things like policy-related expenses and the like.""]",2017,Q3,0
1929,claim: The number of things that you can do are growing significantly.,"premises: ['Just a year ago, practically a year ago, we came out with ARKit 1.', 'Six months or so after that we came out with 1.5.', 'We then recently came out with ARKit 2.']",2018,Q4,1
1621,"claim: In general, for the full fiscal year, we'll be right at or a little below where I thought we would have been, and so that's why the full-year perspective that growth will slow is still on track.","premises: ['And for simplicity, I generally would think about all the delta from Q3.', 'I would encourage you just to move it into Q4 as you think about what to expect.']",2017,Q3,2
367,"claim: So if you recall, it's very consistent with what we've been talking about the last couple of quarters which is the acceleration of expense growth is really driven by three factors.","premises: [""So it's the investments that we're making in safety and security, it's the content investments we're making to support Watch, and then finally it's the innovation initiatives around our longer term bets like AI, AR, VR and connectivity.""]",2018,Q1,2
623,"claim: So on AI, I think that there's a very big shift in how we're going to think about content moderation on the platform.","premises: ['And I mean, this goes back to the beginning of the service, right?', ""So in 2004, when I was starting in my dorm room, for a number of reasons, it was just me, so we didn't have a lot of capacity to have thousands of people reviewing content."", 'AI technology was not developed at the time.', ""The only real logical way to run the service was to enable people to share what they wanted and then reactively, if people in the community saw something that was offensive or they thought was against the rules, they'd flag it for us."", ""And we'd look at it and take things down that didn't belong."", 'Now it is becoming increasingly possible, both because we can build the AI tools, but couple that with being able to hire thousands and thousands of people to do faster review of the content and look at something proactively.']",2018,Q1,1
1022,claim: And we’re very pleased with the strong performance that we had with Facebook itself in the quarter.,"premises: ['But make no mistake, Facebook, core Facebook is really driving the top-line.']",2015,Q4,2
1265,"claim: And I mean really looking at that, the goal is to make customers' lives easier and make it more convenient and a lot of that is you're seeing that in the homes and to some extent on the Go.","premises: [""I mean, one, we're bringing a lot of cool hardware options to customers."", 'Second thing, I mean, making the Alexa service smarter.', ""It's getting smarter and more capable."", 'And then also delivering tools for developers, helping them build for and really with Alexa.']",2018,Q3,0
482,claim: We felt very good about the gross margins for the quarter.,"premises: ['We were actually at the high end of the range for gross margins.', 'We had guided 38% to 38.5%, and we came in at 38.5% exactly.', 'And really, the slight improvement over the midpoint of the guidance range was due to the fact that our revenue was ahead of our expectations, and so we got a bit more leverage out of the increased revenue levels.', ""Again, keep in mind the strong dollar doesn't help us on that front.""]",2017,Q1,2
1304,"claim: We've been a longtime advocate of structural tax reform, and so we'll just wait and see how things play out.","premises: [""And as decisions get made and proposals clarified, we'll share more about what that means for us.""]",2017,Q3,0
1353,"claim: What we're also seeing as we look at people that start paying on our stores, we see a pretty common trend over time.","premises: ['And we keep track of that across cohorts of customers, that as people come into the ecosystem and start paying on the ecosystem, we see a spending profile that is very similar around the world.', 'People start at a certain level and then they tend to spend more over time.']",2017,Q2,0
564,claim: So you will see more going forward.,"premises: ['Most of the spend that we are seeing in Q2 is starting in North America.', 'But this is intended to be a global improvement in speed tied to our Prime program.']",2019,Q1,0
1209,"claim: So, there's a lot of different influences there.","premises: ['But excluding India and Souq, the rest is the Prime benefits and the continued growth in the other countries that we have been in for a while, continue to roll out Prime Now and AmazonFresh.', 'In video, if you remember in Q4 of last year, we launched Prime Video in over 200 countries globally, continue to build up not only the offerings, but also the engagement that we see from those Prime customers.', ""So becoming more engaged and we're also doing the basic blocking, tackling of adding selection, especially FBA selection, increasing free shipping offers and also speed of shipping offers.""]",2017,Q3,0
1910,claim: One thing that we're optimistic about is our ability to hire technical talent outside of the Bay Area as well as in the Bay Area.,"premises: [""And that's because we've built up engineering locations in key areas like Seattle, London, New York, Boston, Tel Aviv."", ""So we've got other markets in which we can recruit and grow engineering and other technical team."", ""And that's really different from where we were a couple years ago.""]",2016,Q4,0
172,"claim: And so, there was a lot of leverage and a lot of, in a way, there was a lot of pre hiring in 2017 that we digested in 2018, while we still continue, in some areas, especially things like our core retail business and also G&A functions, but then we continue to invest again in the technology tied to AWS sales team to an AWS device area.","premises: ['Similarly on headcount, we grew headcount by 48% in 2016, 38% in 2017, if you exclude the acquisitions of Whole Foods and Souq, which drove the number up to closer to 68% I believe.', 'Last year, we were at 14% growth.', 'So their groups are growing considerably higher than that 14%, but on total, the company grew 14%.']",2018,Q4,1
220,"claim: And so it's difficult sometimes to get a read over exactly what's happening in the market, but given the industry numbers that we've seen, it's clear that we picked up global market share and picked up market share in several countries, not only iPhone, but iPad as well.","premises: ['If you look at it on a geographic basis, the top three selling phones in urban China were iPhone, where iPhone X was number one and has been for a couple of quarters, and iPhones make up three of the top five smartphones in the U.S., UK and Japan.']",2018,Q3,1
1328,claim: And during the quarter tactically the emerging markets had a bit of a rebound.,"premises: ['And in fact, on a constant currency basis, we actually grew slightly in emerging markets.', 'We still declined on a reported basis.', 'India bounced back.', 'During the quarter, we returned to growth there.', 'We grew in Brazil as well.']",2019,Q3,2
250,"claim: And what's most important in winning budget is our relative performance in the industry, and we believe we'll continue to do very well on that.","premises: ['And things like GDPR and other privacy changes that may happen from us or may happen with regulation could make ads more relevant.', ""One thing that we know that's not going to change is that advertisers are always looking for the highest ROI opportunity.""]",2018,Q2,0
1837,"claim: So we're really pleased with the performance that we're seeing on the revenue front, certainly on the FX adjusted basis.","premises: [""We're seeing strong growth in the face of really a tough currency environment."", ""We think we've got the best mobile ad product out there in the market and it's just getting better.""]",2015,Q1,2
616,claim: So we're happy with the engagement that customers have.,"premises: [""Well, ultimately, I'll step back and say one of the main things we look out on Prime Video is customer usage patterns and in 2016 we had a doubling of Prime hours for video, music and reading.""]",2016,Q4,0
688,"claim: And what we're doing on Messenger and on WhatsApp are really making sure that businesses can connect with people, and then in the early stages of testing messaging.","premises: [""So we think paid messaging, as we've talked about."", 'And WhatsApp is interesting because by virtue of paying, businesses are going to have to be careful about the content they send.', ""You're not going to send a lot of things people don't want to see if you're paying for them.""]",2018,Q3,0
305,"claim: And I think certainly because this got a lot of attention, it's not just Russia at this point.","premises: [""We've seen similar types of attempts from Iran, China and some places, others as well.""]",2019,Q4,0
277,"claim: Yeah, it was an incredible quarter.","premises: ['We were up 71% year over year.', 'China’s is obviously in the March quarter.', 'iPhone led the way.', 'It was up over 70% year on year.', 'And the current estimates from Kantar are that that would mean that we would gain more than 9 points of share on a year over year basis.', 'The Mac also had an unbelievable quarter in China, and I’m particularly very happy with this, that Mac unit sales were up 31%.', 'We set a record in China for revenues.', 'We did that now in a quarter that included Chinese New Year, and so we have the help of a strong holiday season, much like the U.S. has a strong season in December.', 'And like the rest of the world, or most of the rest of the world, IDC is projecting that PC sales in China contracted by 5% last quarter.', 'And so once again bucking the tide.']",2015,Q2,2
541,claim: But there are also going to be all these new kinds of things that we're not even building today that developers will be able to experiment with.,premises: ['One of the examples I showed at F8 was around using object recognition and computer vision to be able to point your camera at something and then tap on it and get a card of information and maybe even a buy button.'],2017,Q1,0
1023,"claim: You will see volatility in the bookings number for the reasons we've laid out before, the changing expiry base, but also large contracts and commitments done by Azure.","premises: ['And to your point, we actually saw it this quarter because we again saw a quite good performance in some of these larger long-term Azure contracts which added on a flat expiry base to that 15% bookings growth, which was good.']",2019,Q1,2
1656,"claim: And so, I'd see that is opportunity.","premises: [""When I look at the upgrade rate, Steve, what I see is I feel good that it’s a low number because that's low number means that there is 69% of the people that are out there prior to the iPhone 6 and 6 plus that haven't bother to upgrade this year."", ""That's a large number.""]",2015,Q4,2
333,claim: We think that targeting end measurement are significant competitive advantages for us.,"premises: [""We're very focused on the privacy of what people do, wherever they do it, and using the information we have in a very responsible way."", 'We believe that because people are sharing interests, because people are themselves their real identity on the Facebook platform, we have a significant advantage just in basic targeting itself.', ""Just age and gender, we're 38% more accurate than broad-based targeting according to Nielsen in the U.S., and that's just age and gender.""]",2017,Q1,0
737,claim: So the combination of these two things obviously had an impact on ASPs.,"premises: [""And then the other element was the fact that we've reduced more than 4 million units of channel inventory on the high end."", 'So during the quarter, we had this combination of starting with no iPhone SE units in channel inventory, so we had to do an at least a partial channel fill that obviously had an impact on ASPs.']",2016,Q3,2
1254,"claim: And to answer your question about what category it starts in, just take a look at what's already on the web in terms of what people are doing and it is all over the place.","premises: [""From entertainment to gaming, I've seen what I would call more small business solutions."", ""I've seen consumer solutions."", ""I've seen enterprise solutions.""]",2017,Q3,0
2166,"claim: And for that reason, we think mid-roll is a better user experience.","premises: [""In terms of why mid-roll is preferable to pre-roll, Facebook is well suited for shorter-form content where we're ranking things to be longer-form as well."", ""So we're ranking longer-form video, but that's still relatively short video views.""]",2017,Q1,0
1796,"claim: We typically reduced channel inventory for our newest iPhones in Q2,","premises: ['because they enjoy very large demand in the initial weeks of sales, which are compounded by the holiday season in Q1.']",2018,Q1,1
1089,"claim: And so between all of those hardware products, as well as our gaming performance, another sort of hardware component in quarter, we did a little better than we had expected in our launches.","premises: ['We actually launched a very broad portfolio of devices into the quarter.', 'With Surface Pro 4, Surface Book, Band 2 and the Lumia 950 and 950 XL.', ""Now when you launch mid quarter, there's always some timing aspect to that, but I feel very good about the execution of those and that is a meaningful component of that out-performance.""]",2016,Q2,2
1597,claim: But we need to keep into account the fact that these positives are going to be partially offset by the cost structures of the new products that we are launching now and we've launched already a few during the September quarter and that will have an impact on our December quarter results.,"premises: [""And it's the fact that last year we had this award for a patent infringement of $548 million."", 'That is, at the gross margin level, is 40 bps.', ""And then we've got the FX situation, which I mentioned before, which is worth another 60 bps, 70 bps.""]",2016,Q4,1
1620,"claim: Overall, we continue to expect each service is going to get better and better.","premises: ['That happens from two things, premium mix revenue doing well, as well as the efficiencies we expect to get in COGS resulting in gross margin improvement.', 'The mix amongst the services will always result in a pacing change', ""And so while year over year you may not see as much, but you will see more sequential volatility as, frankly, you've seen over the past six quarters, even when we've seen improvements in each of the underlying and underlying services, which tends to be how I focus on it a bit more.""]",2017,Q3,1
1685,claim: We were very encouraged by the results this quarter.,"premises: ['If you look underneath the numbers, mainland China was actually flat year-over-year during Q3.', 'And in constant currency terms, we were actually up 6% in mainland China.', 'iPhone was relatively flat year-on-year, similar as the market was.', 'Hong Kong continued to drag down the total Greater China segment.']",2017,Q3,2
806,"claim: The opportunity I believe in both cases is high,","premises: ['because it just comes in different forms.', ""IaaS growth comes because people already have existing code that they want to move over, and then they start extending by writing more PaaS because it's sort of more efficient for them to write new code and new apps in PaaS.""]",2016,Q2,0
1816,claim: So the work that we started talking about at F8 that we are releasing slowly over the course of the year is certainly one of the precursors for building out that ecosystem that I'm excited about.,"premises: [""But also recently, one of the things that we've seen is that there are a lot of AR experiences on mobile.""]",2017,Q2,0
2172,"claim: So total revenue has not changed, we just report that estimated value under the Services category.","premises: ['That value gets deferred and gets amortized over the estimated period of time that we deliver the free services.', 'In the past that deferral and the subsequent amortization was reported under products.', 'Now in connection with the new revenue recognition standard, we are reclassifying essentially that amortization from products revenue to services revenue.']",2019,Q1,0
577,claim: It’s going to be gaming for the beginning.,"premises: ['There are about -- I think it’s around 250 million people who have Xboxes, Play Station, or Wiis.']",2015,Q4,0
558,"claim: We're not going to update our Prime subscription growth beyond what we said last year at the end of last year, which last year in a year when we raised prices early in 2014.","premises: ['The global growth rate was 53% and North America growth rate was 50%.', 'So, by default, the International growth rate was higher.', 'We like the adoption of Prime internationally.', ""It's helped by additional selection that's available for fast track shipment, including FBA."", 'So that flywheel is working.', ""We've also launched video benefits most recently in Japan, but we have them in the U.K. and Germany."", 'We continue to launch other Prime benefits, Amazon Pantry in Japan and Germany this quarter.', 'We launch Prime Now in the U.K.', ""So, it's very similar to the U.S. story, potentially time lagged a bit, but we are seeing the same customer adoption and impact on growth rates.""]",2015,Q3,1
311,claim: So we're pretty confident that this is going to keep on growing.,"premises: ['But what we found in general is that if you look at some of the markets that are strongest for both of them, they can each grow in those markets, and as messaging has become more affordable and more reliable for people, the volumes of messaging have just gone through the roof in terms of what people want to do.', 'My understanding from looking at a bunch of analytics is that the peak of global SMS reached somewhere in the low 20 billion messages per day, and we already have many times more than that.', 'Three times or more, more than that across WhatsApp and Messenger.']",2016,Q4,0
1234,"claim: The way I think about it, we really – Satya and I and the leadership team decided, gosh, about 18 months ago – it's been a little longer than that now, to over-index on investing because of the TAM we saw in the Intelligent Cloud.","premises: ['We increased hiring and we invested in direct customer acquisition cost.', 'We invested in many of the things Satya just talked about in terms of technical capabilities and our sales force.']",2017,Q2,1
1847,"claim: So, I think that’s the color I can give on ad loads.",premises: ['I mentioned that we expect the factors that drove the performance in 2015 to continue to drive the performance in 2016.'],2015,Q4,0
1068,"claim: Through messaging specifically, I'm more optimistic because of the private nature of this space, right?","premises: [""It feels – when you're using a messaging service, that everything there is very intimate and private so it feels like a more natural space to be interacting with a business in a private way for doing transactions.""]",2019,Q1,0
2095,claim: I think we have been and continue to be a great place for people to browse and discover.,"premises: ['Our overall commerce efforts go across not just Instagram but Facebook and all of our properties, and our goal is to make it more convenient and accessible and secure for people and business to browse, discover, buy and sell.', 'That continues to drive the great, great majority of our business and well for the foreseeable future.']",2019,Q3,0
1178,claim: And generally what we find is that price is important.,"premises: ['It was our 51st price reduction since we launched AWS years ago.', 'As far as pricing is concerned, we had a price reduction in January for our EC2 services.']",2015,Q4,2
1736,claim: And in this context I think we see a mix.,"premises: ['There a few of us who are at scale in public cloud who are very competitive, and anybody who decides to be multi-cloud, public cloud, those are the winners.']",2019,Q4,0
1086,claim: And I would also say retail was very strong.,"premises: ['We had a, as I think Dave mentioned, the Echo Dot was the highest selling unit globally, so devices had very strong sales in the quarter.']",2018,Q4,2
855,claim: We obviously feel good about the business during the December quarter.,"premises: ['And from what you’ve seen from our guidance for the March quarter, we’re guiding to a growth in OpEx on a year-over-year basis that is similar to what we’ve experienced during the course of the December quarter.', 'Our revenue exceeded in terms of growth, our growth in operating expenses.', ""There's going to be quarters where the opposite is going to happen."", 'It’s among the lowest ratios that we’ve ever had.', 'Our expense to revenue ratio during the December quarter was that 7.4%.', 'It was the lowest that we’ve had in two years.']",2015,Q1,2
2157,claim: And so that's the reason it's chockfull of incredible innovation.,"premises: ['And as we said when we launched it, we were setting up the next decade.']",2018,Q1,0
484,"claim: However, we've taken what we've learned from last quarter, and we did see a number of encouraging signs.","premises: ['Luca talked about the number of countries that we saw double-digit growth in during the quarter, from Japan to Brazil to India, some even stronger numbers than that in Russia.', ""So there's a number of countries that we saw strong signals from that perspective."", 'We also are very happy with the switcher rate that we saw, our highest ever recorded.', ""And the number of switchers through the nine months are the highest absolute numbers that we've ever had."", ""We've made our best estimate of where we think we'll come in, and that's $45.5 billion to $47.5 billion.""]",2016,Q3,2
650,claim: We're not doing this to be positive or negative for revenue.,"premises: [""We're doing this because is the right thing for our community.""]",2017,Q4,0
865,"claim: Over the longer term, I think as that works, people will experiment with longer forms of video as well and all kinds of different things.","premises: [""So the biggest change that I think that we're going to see on the consumption in News Feed and in the tab over the next year or two is going to be much more video inventory and content coming in as we work through and make that business model start to really click for a lot of folks."", 'But that, I think, is the primary focus for the foreseeable future.']",2016,Q4,0
727,"claim: So we take both roles very seriously around here, investing on the right – in the right things, seeing results on behalf of customers, and also driving efficiencies.","premises: ['In fact, I just called out a few things that are going to be stepping up in investment levels in Q3, mostly ops and digital content.', 'So we continue to invest on behalf of customers.', 'But we also work very hard at efficiencies and scaling the businesses that we have.']",2016,Q2,0
229,"claim: On the price reduction question, we've got a long track record of driving costs out of the business and you can certainly see where we've even done that over the last several quarters if you look at the margins in AWS.","premises: [""We've also lowered prices for customers 49 times since launch""]",2015,Q2,1
563,"claim: And importantly, we're also creating better experiences for people","premises: [""because when an ad is more targeted, more relevant, when you see a product you're interested in or a service you're interested in, that's a better experience.""]",2015,Q3,2
233,claim: That's the primary driver.,"premises: ['Katy, sequentially from 38.5% that we just reported, typically we have product transition costs during the September quarter.']",2017,Q3,2
690,claim: Pricing will take time.,"premises: ['So as we bring more formats to Stories and bring more advertisers to Stories, we can build up that demand and balance that out with supply.']",2018,Q3,0
789,"claim: And they span, quite frankly, all the industries.","premises: ['I think in the last quarter, you saw in health care, in retail, in financial services.', 'In fact, I sort of internally think of them as what our relationships with our traditional OEM partners in the PC ecosystem were.', 'At this point, some of the partnerships we have with customers are of that same magnitude.']",2019,Q2,0
2171,"claim: If I zoom out of the 90-day clock and look at it, we've got some exciting things coming on iPad.","premises: [""When we look at the number of people buying iPads for the first time, which is a good thing to look at from a point of view of whether things are reaching a penetration point or not, the numbers indicate that it's not close to that kind of thing."", 'The customer sat numbers are through the roof.', 'Literally, the customer sat for the iPad Pro is 99%.', ""It's stunning."", ""And so I see a lot of good things and hope for better results, but we are still currently in this shortage issue now, and I'm not projecting to get out of that totally during the quarter."", 'And so it will damper this quarter somewhat.']",2017,Q1,2
1431,claim: It exceeded our - even our expectations.,"premises: ['It was a very busy quarter and it did increase some of our variable costs as a result, primarily in the US, but a very strong quarter for FBA.']",2015,Q4,2
1446,"claim: So you remember last quarter, I made the point that 2018 saw lower growth in some of our key cost areas.","premises: ['Things like fulfillment capacity, which have been growing over 30% a year in 2016 and 2017, dropped to 15% last year.', 'Headcount growth was 48% in 2016, 38% if you exclude Whole Foods and Souq acquisitions in 2017.', 'That dropped to 14% last year.', 'And then, financial leases for infrastructure, which are good proxy for capital investment and infrastructure, after growing 69% in 2017, grew 10%.']",2019,Q1,1
1011,claim: so we're pleased with that.,"premises: [""And that's broad-based growth across the globe,""]",2017,Q1,2
538,"claim: It's early, but we're seeing some positive results with publishers of many different types bringing branded content to Facebook.","premises: ['In Q1, we opened this up to unverified pages so we could enable more people to take advantage of this kind of targeting.', 'We see this in the broader context of better targeting.']",2017,Q1,2
1031,"claim: So, we continue to be happy with our top line growth.","premises: ['As we see it here, we grew from a $30 billion revenue run rate at the end of 2018 to a $40 billion revenue run rate at the end of 2019.', 'The -- in dollar terms as opposed to percentages, we had a larger dollar increase in revenue both year-over-year and quarter-over-quarter.']",2019,Q4,1
1972,claim: But I’m really confident that this is something we really understand how to do and will do.,"premises: ['We are learning quickly about customer preferences between the different configurations.', 'There’s a much larger breadth of possibilities here for customers than in our other products.', 'And in some cases, we called that well.', 'In some cases, we’re making adjustments to get in line with demand.']",2015,Q2,0
1600,"claim: It wasn't necessarily the Prime flywheel that was the issue, it was more the FBA demand that we had from FBA sellers for space in our warehouses.","premises: ['We were very full.', ""But it – as I mentioned last quarter, it did result in higher fulfillment costs in the fourth quarter as a result, and I think you'll see some of that dissipated now in Q1, so you could tell it was a Q4 issue.""]",2016,Q1,2
559,claim: The guiding principle for us on this is that we want to give the most voice to the most people.,"premises: [""And the idea is that there are all these different barriers that any given person has to being able to share and express everything that they want, from technical barriers, it's really hard to communicate with someone if you're not on the internet and they're far away, to product barriers, it's hard to share videos if we don't have a good product for sharing videos, to legal barriers, it's hard to share content that your government says is illegal for you to share.""]",2015,Q3,0
483,claim: and so we were very happy about that,"premises: ['Despite the demonetization move in India that created lots of economic pressure there last quarter, despite that, we had all-time record revenue results,', 'The demonetization impact has not worked its way through yet.', ""It's still definitely having some overhang.""]",2017,Q1,1
669,claim: So that clearly is having an impact in APAC and India was our strongest growth market.,"premises: [""But then particularly in the fourth quarter, one of the callouts that we've seen, an increase in third-party promotional free data plans in places like India.""]",2016,Q4,2
323,"claim: In fact, one of the cultural changes inside the company is everyone from the frontline engineer to the frontline salesperson is responsible for usage.","premises: ['And given that, we want to have these leading indicators showing up in our dashboard not are static reports and Power BI is this rich canvas for us to be able to, one, visualize data as well as ask natural language questions.', 'I look at my own usage of one note in Surface.', 'That’s gone through a fee change both because of the hardware innovation, innovation in Windows, innovation in Office.', 'I look at something like Sway which I’m pretty excited about because basically we’re taking the concept of what is an interactive document and the website and bringing it all together into these Sway documents if you well and if you’re excited about what that could mean in customer service marketing or for school reports.', 'I use Power BI .']",2015,Q3,0
253,"claim: But more importantly, we have a much more broader gaming view in terms of what value we can add with our subscription services streaming services across all devices.","premises: ['And one other point I think I made in my remarks earlier is gaming also is a growth area for Azure.', 'In other words, we have now increasing past services that we are going to reinforce on Azure and attract more game developers', ""Some of the know-how that we have from Xbox is not just about the Xbox, but it's going to help developers across the board."", 'So that I think will also transcend or lead into even media companies.']",2018,Q2,0
1029,"claim: In terms of what drove the improvement in the pricing, it's strong demand, so that's playing through in the face of a little bit slower supply growth.","premises: [""And so you're seeing – of course, the auction drives pricing and there has been interplay between the supply growth and the pricing growth, and we're seeing the strong demand play through on the pricing side.""]",2017,Q1,0
929,"claim: And so as I look at all of these things, we feel really great about how we did.","premises: [""Even though the store layout was delayed, we've learned a lot about the buying experience."", ""We've also learned a lot about managing quite an assortment and so forth.""]",2015,Q3,0
701,"claim: Of course we started in Music with Prime Music, a little bit earlier in that space, and I think that's been a great way for Prime members to enjoy some of that catalog for free, and then as they enjoy that, be able to move into the Amazon Music Unlimited skill.","premises: [""One of the great things that's also part of that, I think, you alluded to it is just Alexa, and one of the most popular features we see as you probably imagine for using those devices are just interacting with Alexa, wherever you may be is being able to listen to music."", 'We now have more than 45,000 skills available to customers.']",2018,Q2,0
1236,"claim: And I continue to expect that we'll see growth in revenue as those resources both get hired, get up to speed, and add value at accounts.","premises: ['A lot of that account value frankly, Walter, today is coming in the form of consumed revenue.', 'Consumed revenue is actually a great leading indicator for what we expect our Azure growth going forward to be.']",2017,Q2,0
1860,claim: I feel we've got a very broad base of customers from startups to small-medium businesses to large enterprises to the public sector.,"premises: [""And we're continuing to see strong growth across all those sectors."", 'The business is now a $14 billion annualized – running at a $14 billion run rate.', 'You are right that we had seven price cuts in Q4, essentially timed for December 1, so about 1/3 of the impact was seen in Q4.']",2016,Q4,2
308,claim: The ad load opportunities are higher on Instagram,"premises: ['because Instagram is at a lower ad load than Facebook,']",2016,Q4,0
1491,"claim: And so I'm very, very bullish and very, very optimistic about India.",premises: ['I see a lot of similarities to where China was several years ago.'],2017,Q3,0
2164,"claim: I think it's the exact product portfolio that we talked about last year when the impact was happening, so let me take this opportunity to sort of walk you through those components again.","premises: [""Obviously there's a very direct impact, which we've talked the most about in terms of Windows Pro and its mix would attach to business PCs."", 'The other important component of that was when people bought a PC as we talked through the year, they often took the chance whether generally in the business segment which impacts in our world commercial licensing as a reporting unit to buy Office and generally on a non-annuity basis.', 'So if you think about that being the next major transactional type purchase that was driven a year ago as the first externality, the second was in Windows [DL] [ph] we also saw non-annuity purchases in Windows DL which again is in our commercial licensing segment.', 'So if you think about it from a product portfolio, it really is Windows and Office.', ""If you think about it from our reporting segments it's the D&C licensing segment as well as our commercial licensing segment and specifically our transactional revenue growth year-over-year.""]",2015,Q2,1
1088,"claim: So specific to Q4, the impact of that change was an increase of approximately $1 billion to other revenue, so you will see that in the other revenue in total.","premises: ['We did adopt that revenue recognition standard in 2018 as I mentioned.', 'As part of the adoption, certain advertising services were classified as revenue rather than a reduction of cost of sales.']",2018,Q4,1
128,claim: And so that's the main reason in our view that you see a difference.,"premises: [""There's lots of reasons, but the largest one in our view is that when you look at what happened in 2015 in China, we had a surge of upgraders that came into the market for the iPhone 6 or iPhone 6 Plus, and the upgrade rate increased relatively more in Greater China than elsewhere around the world."", 'And so when that upgrade rate in fiscal year 2016 returned to a more normal upgrade rate, which would be akin to what we saw with the iPhone 5S as a point, it had further to fall.']",2016,Q4,1
503,claim: Our main issue and our main concern is trying to minimize the impact to our customers and sellers in India.,"premises: [""We've built our business around price selection and convenience.""]",2018,Q4,0
1450,claim: So we're taking a significant step.,"premises: [""It wasn't showing up in Q1."", ""It was minimal in Q1's results.""]",2019,Q1,2
691,"claim: And so in this particular quarter, we were able to end basically right at the bottom end of our range and we view that as a good thing, not a bad thing.","premises: ['We sold more units than we thought we would and so that was a part of that.', 'The other part of it is that we always run with just the amount of inventory that we think we need.', 'And so to the degree that sales are distributed in the countries with disproportionally with shorter supply chains, or the standard deviation demand is less, we would always choose to have less']",2015,Q3,2
232,"claim: So we felt we could guide to a slightly narrower range, which we've done occasionally in the past.","premises: ['We also have a more difficult memory pricing environment this year than a year ago.', 'In terms of the range that we use for gross margins, we have a fairly good understanding on where we are with our hedging program, and that allows us to mitigate some of the volatility there.']",2017,Q3,1
696,"claim: It's definitely true that most of our advertisers are advertising on TV and advertising with us on mobile, and they should be.","premises: [""And we've done studies that show with Nielsen that our ads can be a really big complement to TV, particularly enabling you to reach people who really aren't on TV and you can't reach.""]",2016,Q3,0
432,"claim: Michael, we never go through mix, but I would share with you that the iPhone X orders are very strong for both direct customers and for our channel partners, which as you know, are lots of carriers throughout the world.","premises: ['And I think as of a few minutes ago, the first sales started in Australia.', ""And I'm told we had several hundred people waiting at the store in Sydney and I'm getting similar reports from across that region.""]",2017,Q4,0
1514,claim: I think we did really well there.,"premises: ['I was there right after the launch in October.', 'And the excitement around the iPhone 6, iPhone 6 Plus were absolutely phenomenal.', 'And you can see that in the results with Mainland China being up 100% year-on-year, despite not having a full quarter of sales since we launched in the second half of October.']",2015,Q1,2
1675,"claim: On the first, when we think about Instagram, we think we have a great opportunity;","premises: ['25 million Instagram business profiles, 2 million advertisers.', ""We're growing quite nicely across brand and DR.""]",2018,Q2,0
397,"claim: So, we feel that we are in good shape there.","premises: [""And we've exited the quarter also on iPad and Mac well within the ranges that we want to have."", 'On the question around channel inventory, we entered the quarter, the December quarter -- and we mentioned it back in October below our target range of five to seven weeks.']",2016,Q1,2
665,"claim: Innovation is accelerating, not decelerating.","premises: ['So, as Phil mentioned, we are seeing continued increases in usage, both sequentially and year-over-year.', 'We are also seeing a great efficiency in the business on a cost basis.', ""We had over 350 significant new features and services and we believe that's what resonates with customers.""]",2015,Q2,0
174,"claim: So we had a banking, if you will, of some large expansions in the prior two years.","premises: ['Starting with fulfillment costs, so in the prior two years, 2016, and 2017, we had grown our square footage tied to fulfilment and shipping by greater than 30%.', 'In 2018, that number grew by 15%.', 'Certainly, unit demand was lower, but AFN or Amazon Fulfilled demand were, we’ve combined FBA and retail, remained strong.']",2018,Q4,1
78,claim: The improvement in that in Q3 is obviously very high margin and also the bottom.,"premises: ['Japan as a geography for us is a high transactional market.', 'And so when Japan is strong, it tends to be a very high margin landing down to the bottom line.']",2019,Q3,2
1690,claim: No real surprises there.,"premises: [""In terms of the North American numbers, we're seeing slower growth in our more mature markets."", ""That's consistent with the outlook that we had going into the quarter.""]",2019,Q4,0
1444,claim: We're also seeing a higher stock-based compensation expense.,"premises: ['That was up 36% year-over-year.', ""And you'll see that our headcount grew 13% year-over-year."", 'So when you look at some of our most quickly growing areas things like Alexa and AWS and also teams working on machine learning and other high-end technical projects, our technical headcount actually grew twice that rate or nearly twice that rate based on total headcount.']",2019,Q2,1
1134,claim: And so the onboarding has been incredibly important and incredibly effective.,"premises: ['We announced last year that we have over 50 million small business pages active on a monthly basis.', 'Eighty percent of those are active on mobile.', 'We then work on helping them use our ad products and upsell them to our paid ad products as well, and we announced this quarter that we hit 3 million active advertisers on Facebook and 200,000 on Instagram.']",2016,Q1,2
433,claim: And the software team worked really hard to make that go back several versions of iPhone so that we sort of have hundreds of millions of enabled devices overnight.,"premises: ['And of course, Apple is the only company that could have brought this because it requires both hardware and software integration, and it requires sort of making a lot of – or giving the operating system update to many people at once.', ""And so there's 1,000-plus in the App Store right now.""]",2017,Q4,0
